display  D   display_settings.c:202  debug_display_settings           [   0.18381] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18385] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.18388] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18393] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.18396] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18400] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.18404] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18409] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18412] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18417] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18420] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18425] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.18428] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18433] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.18436] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18441] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.18444] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18449] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.18452] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18456] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.18460] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18464] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.18468] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18485] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.18492] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18496] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18499] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18504] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18507] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18512] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.18517] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18521] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.18525] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18529] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.18533] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18538] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.18541] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18546] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.18550] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18554] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.18558] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18563] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.18567] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18584] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18590] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18595] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18598] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18603] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.18606] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18611] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.18617] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18622] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.18625] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18630] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.18633] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18660] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.18665] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18670] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.18674] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18678] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.18682] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18686] Score is : 897
